time,open,high,low,close,volume,delta
09:00,20092,20100,20088,20096,10000,2000
09:05,20096,20098,20078,20082,12000,-2000
09:10,20082,20088,20076,20086,11000,1000
09:15,20086,20090,20074,20078,14000,-2000
09:20,20078,20080,20066,20070,16000,-4000
09:25,20070,20072,20054,20058,18000,-6000
09:30,20058,20064,20050,20054,32000,-8000
09:35,20054,20056,20029,20030,30000,-10000
09:40,20030,20031,20014,20022,34000,-10000
09:45,20022,20025,20020,20024,28000,8000
09:50,20024,20024.75,20018.25,20020,26000,-6000
09:55,20020,20029,20019.75,20028,30000,10000
10:00,20028,20040,20027.75,20038,36000,12000
10:05,20038,20046,20036.5,20044,32000,10000
10:10,20044,20054,20043,20053,30000,8000
10:15,20053,20055.25,20053,20054,34000,12000
10:20,20054,20054.5,20050,20051,24000,-6000
10:25,20051,20052,20048,20049,21000,-3000
10:30,20049,20051,20048.5,20050,18000,2000
10:35,20050,20050.75,20049,20050.25,16000,1000
10:40,20050.25,20051,20049.5,20050,14000,-1000
10:45,20050,20050.75,20049.75,20050.25,12000,1000
10:50,20050.25,20050.5,20049.75,20050,10000,0
10:55,20050,20050.5,20049.5,20050.25,9000,1000
